id;beer_style;bitterness_IBU;diacetyl_concentration;lactic_acid;final_gravity;sodium;free_CO2;dissolved_oxygen;original_gravity;pH;gypsum_level;alcohol_ABV;fermentation_strength;quality
1970;Pale;7.401;0.231;0.335;2.008;0.056;31.01;100.993;0.986;3.405;0.554;5.43;9.861;5
1971;Dark;5.188;0.307;0.261;1.786;0.089;12.998;49.983;1.005;3.366;0.543;4.391;8.85;5
1972;Pale;6.805;0.306;0.269;4.805;0.021;24.997;100.001;0.99;3.083;0.459;5.901;11.017;7
1973;Dark;10.189;0.299;0.644;2.394;0.063;5.998;17.006;1.0;3.213;0.633;5.623;10.847;6
1974;Amber;5.104;0.299;0.284;8.324;0.043;27.003;107.005;0.978;3.373;0.376;5.237;10.065;6
1975;Pale;7.002;0.156;0.424;0.912;0.058;22.014;94.982;0.984;3.245;0.445;5.198;9.859;6
1976;Pale;6.392;0.423;0.282;1.107;0.053;4.992;109.996;0.999;3.255;0.53;4.339;8.331;4
1977;Pale;6.783;0.164;0.415;12.891;0.061;79.49;182.98;1.009;3.247;0.793;4.859;9.14;6
1978;Pale;6.309;0.511;0.213;1.791;0.048;31.004;139.994;1.006;3.382;0.535;4.958;9.631;6
1979;Pale;7.004;0.253;0.302;12.316;0.033;72.003;171.992;1.002;2.971;0.556;4.959;9.239;6
1980;Pale;6.708;0.254;0.739;19.394;0.041;43.999;169.007;1.005;3.512;0.449;4.665;8.926;6
1981;Golden;7.216;0.345;0.269;10.405;0.093;42.994;186.99;1.027;2.97;0.57;4.475;8.236;5
1982;Pale;6.902;0.289;0.301;1.297;0.055;23.98;189.0;0.999;3.282;0.536;4.71;9.287;4
1983;Golden;6.6;0.231;0.291;1.813;0.032;38.99;132.006;0.985;3.334;0.466;5.432;10.371;5
1984;Brown;7.311;0.51;0.313;2.097;0.074;51.0;70.013;0.991;3.337;0.815;6.143;10.618;6
1985;Brown;10.999;0.305;0.571;2.089;0.065;6.989;18.998;0.996;3.324;0.862;5.013;9.207;7
1986;Pale;6.294;0.327;0.261;1.2;0.042;33.989;174.979;1.003;3.366;0.531;4.47;8.384;6
1987;Golden;6.191;0.247;0.26;1.718;0.031;138.489;271.978;0.983;3.534;0.539;4.575;9.183;4
1988;Golden;7.092;0.35;0.234;15.393;0.051;45.998;197.991;1.0;3.132;0.474;4.196;8.288;5
1989;Dark;5.308;0.578;0.023;1.698;0.053;4.994;27.009;0.981;3.564;0.84;5.953;10.807;7
1990;Pale;8.896;0.132;0.478;0.999;0.035;5.999;24.002;0.999;2.905;0.316;4.712;9.444;5
1991;Golden;6.607;0.3;0.319;3.878;0.033;38.99;96.005;0.99;3.231;0.599;6.012;10.919;8
1992;Pale;6.707;0.138;0.292;4.998;0.055;27.989;105.01;1.0;3.537;0.436;4.859;9.12;7
1993;Pale;6.505;0.461;0.292;5.0;0.027;14.997;72.007;1.008;3.26;0.615;5.482;10.291;7
1994;Pale;5.994;0.145;0.351;1.211;0.038;63.002;147.998;0.99;3.309;0.45;5.327;9.956;5
1995;Amber;5.616;0.499;0.108;2.299;0.036;16.986;98.991;0.994;3.599;0.637;6.199;11.781;5
1996;Golden;6.398;0.266;0.166;8.396;0.057;59.998;198.02;0.986;3.219;0.472;4.475;8.65;5
1997;Amber;7.306;0.212;0.408;14.764;0.03;44.5;129.491;0.997;3.352;0.397;4.339;8.189;7
1998;Golden;6.699;0.281;0.134;1.415;0.04;64.015;158.994;0.99;3.168;0.383;4.761;8.761;5
1999;Amber;8.806;0.248;0.353;1.699;0.053;12.986;26.999;1.0;3.137;0.582;5.38;10.2;7
2000;Pale;7.397;0.18;0.432;2.101;0.031;32.998;187.002;1.001;3.394;0.425;5.057;9.425;7
2001;Dark;7.909;0.67;0.203;2.106;0.075;32.997;141.019;1.003;3.265;0.51;4.723;8.92;5
2002;Amber;9.288;0.401;0.393;2.603;0.077;9.991;26.009;0.986;3.35;0.753;4.865;9.792;6
2003;Pale;6.809;0.336;0.672;1.311;0.05;12.001;170.992;1.006;3.061;0.454;4.62;8.975;5
2004;Amber;5.497;0.155;0.324;1.209;0.044;31.0;67.999;0.988;3.317;0.432;5.541;10.209;6
2005;Pale;7.496;0.163;0.374;1.784;0.074;19.014;101.012;0.988;3.234;0.43;4.759;9.205;5
2006;Golden;9.202;0.254;0.343;1.211;0.02;31.0;93.0;0.989;2.926;0.39;5.372;10.046;7
2007;Pale;6.818;0.287;0.268;20.308;0.028;44.995;149.996;0.99;3.03;0.386;5.857;10.625;6
2008;Pale;6.797;0.204;0.265;6.2;0.058;21.987;105.991;1.009;3.086;0.55;5.143;9.734;5
2009;Pale;5.589;0.167;0.295;0.8;0.034;19.994;67.022;0.992;3.269;0.484;4.712;9.324;6
2010;Pale;7.909;0.267;0.256;1.698;0.022;25.001;122.012;0.983;2.967;0.514;5.675;10.629;6
2011;Golden;6.783;0.209;0.4;4.699;0.06;27.01;102.991;0.992;3.368;0.601;5.1;9.258;6
2012;Golden;8.007;0.23;0.327;10.42;0.046;63.005;200.998;0.983;3.098;0.517;4.535;9.037;6
2013;Golden;6.009;0.326;0.203;1.802;0.033;48.995;159.019;0.976;3.401;0.535;5.244;9.975;6
2014;Brown;7.511;0.681;0.079;2.498;0.043;4.998;8.993;1.015;3.385;0.542;5.192;9.747;4
2015;Pale;7.991;0.193;0.487;1.794;0.066;10.022;144.99;0.999;3.213;0.473;4.771;8.989;5
2016;Golden;6.596;0.315;0.342;7.706;0.032;63.007;212.002;1.001;3.206;0.48;4.635;9.31;6
2017;Golden;6.402;0.388;0.218;1.207;0.027;34.992;136.001;0.998;3.131;0.46;4.873;9.092;5
2018;Pale;8.107;0.3;0.397;6.901;0.035;30.003;97.011;1.008;3.262;0.455;4.808;9.013;6
2019;Pale;6.204;0.112;0.265;5.699;0.047;55.996;157.999;0.985;3.506;0.365;5.0;9.371;6
2020;Dark;7.597;0.74;-0.007;2.501;0.072;10.024;14.011;0.986;3.509;0.715;5.574;10.439;7
2021;Golden;6.103;0.219;0.178;1.401;0.04;51.008;131.015;0.982;3.257;0.383;4.997;9.837;5
2022;Golden;7.391;0.242;0.37;6.889;0.04;13.988;92.99;0.983;2.992;0.482;5.101;9.678;7
2023;Amber;6.188;0.367;0.228;5.247;0.031;43.983;145.012;0.984;3.219;0.389;5.338;9.95;6
2024;Pale;6.785;0.21;0.325;2.902;0.039;40.002;120.997;0.994;3.062;0.647;5.197;9.045;7
2025;Golden;5.697;0.148;0.295;3.717;0.051;56.995;151.001;0.995;3.213;0.26;5.334;9.783;6
2026;Brown;12.806;0.84;0.615;2.414;0.088;12.988;34.988;1.003;3.107;0.607;4.963;8.752;6
2027;Pale;5.895;0.302;0.278;3.193;0.024;16.002;116.997;0.992;3.271;0.406;6.003;11.593;6
2028;Golden;6.596;0.331;0.24;3.297;0.036;29.002;98.999;0.988;3.102;0.394;5.864;10.638;7
2029;Brown;8.398;0.375;0.433;2.304;0.064;12.013;18.993;1.008;3.15;0.808;5.337;10.402;7
2030;Golden;5.583;0.181;0.488;1.103;0.007;28.018;116.994;0.989;3.557;0.461;4.903;9.52;6
2031;Dark;8.31;0.539;0.255;3.397;0.078;15.991;111.997;0.997;3.273;0.615;4.484;8.36;5
2032;Pale;8.299;0.307;0.361;9.988;0.041;33.011;168.978;1.008;3.24;0.507;4.431;8.247;6
2033;Dark;7.506;0.379;0.578;2.314;0.102;4.998;12.005;0.984;3.36;0.56;5.428;9.927;6
2034;Dark;7.09;0.668;0.004;3.907;0.089;17.001;45.011;1.007;3.464;0.53;4.532;9.164;5
2035;Golden;6.889;0.242;0.268;5.174;0.017;36.005;135.001;0.993;3.176;0.707;5.094;9.471;7
2036;Pale;6.612;0.203;0.37;1.191;0.062;44.989;199.0;0.98;3.374;0.559;4.918;8.731;7
2037;Dark;7.105;0.221;0.512;1.807;0.038;7.985;17.995;0.982;3.398;0.577;5.912;11.284;6
2038;Golden;6.415;0.27;0.291;3.917;0.045;61.992;140.011;0.97;3.11;0.603;5.3;9.828;6
2039;Amber;6.197;0.298;0.167;2.808;0.028;24.006;124.991;1.005;3.004;0.459;4.292;8.238;5
2040;Amber;6.91;0.582;0.021;1.882;0.073;40.0;54.004;0.996;3.399;0.721;4.627;8.871;5
2041;Pale;6.808;0.225;0.258;18.152;0.031;41.024;146.009;0.985;3.316;0.364;4.147;7.921;5
2042;Pale;6.406;0.265;0.33;4.496;0.232;60.997;173.999;1.003;3.145;0.482;4.481;9.033;5
2043;Pale;6.915;0.405;0.565;11.208;0.056;40.017;142.008;1.019;3.152;0.455;4.138;8.238;5
2044;Pale;7.395;0.211;0.276;9.09;0.049;29.007;94.994;0.986;3.182;0.468;4.662;8.832;7
2045;Dark;8.896;0.296;0.311;2.009;0.086;11.999;19.006;0.983;3.165;0.544;4.961;9.362;6
2046;Golden;7.378;0.159;0.305;13.704;0.074;32.996;168.006;0.977;2.895;0.423;4.151;8.592;7
2047;Amber;6.803;0.199;0.612;6.405;0.033;6.989;113.022;0.991;2.968;0.594;4.868;8.622;5
2048;Dark;9.388;0.234;0.345;2.335;0.068;51.982;73.004;0.996;3.485;0.909;4.863;9.116;6
2049;Pale;6.087;0.161;0.273;5.992;0.019;28.992;143.996;0.996;3.672;0.474;5.093;9.27;6
2050;Pale;7.288;0.339;0.289;1.307;0.039;24.992;172.998;0.979;3.273;0.503;4.336;8.639;6
2051;Pale;7.688;0.402;0.366;10.016;0.18;22.002;210.003;0.993;3.006;0.646;4.529;8.862;5
2052;Golden;6.81;0.235;0.424;7.409;0.039;56.002;188.999;0.995;3.219;0.495;4.436;8.778;6
2053;Amber;8.204;0.276;0.5;1.001;0.041;28.989;118.011;0.998;3.237;0.345;5.198;9.486;4
2054;Golden;5.591;0.245;0.305;1.194;0.051;33.001;127.004;0.978;3.349;0.519;5.226;9.864;7
2055;Pale;7.5;0.374;0.297;4.897;0.019;38.009;113.011;0.985;3.077;0.48;6.192;11.751;7
2056;Amber;8.798;0.465;0.487;2.897;0.077;17.001;109.983;0.99;3.295;0.595;4.67;9.491;5
2057;Dark;7.192;0.39;0.299;1.798;0.062;31.0;69.998;1.0;3.4;0.597;4.528;8.621;6
2058;Pale;6.601;0.211;0.39;2.3;0.027;30.997;102.009;0.991;3.219;0.584;5.196;10.355;7
2059;Amber;6.59;0.167;0.268;7.403;0.055;44.997;127.996;0.992;3.156;0.361;4.758;9.086;6
2060;Pale;6.19;0.321;0.255;4.112;0.065;34.006;149.009;0.986;3.352;0.527;5.251;10.243;5
2061;Dark;7.194;0.648;0.006;2.318;0.083;4.98;30.988;1.006;3.666;0.808;4.623;9.152;5
2062;Pale;6.306;0.336;0.345;4.899;0.019;31.027;185.017;0.989;3.145;0.499;4.619;9.466;5
2063;Pale;6.983;0.22;0.418;5.097;0.034;37.0;144.007;0.979;3.499;0.581;4.86;8.672;6
2064;Pale;7.104;0.154;0.377;7.398;0.048;49.004;181.985;1.007;3.352;0.517;4.569;9.193;6
2065;Pale;7.107;0.381;0.657;10.502;0.04;49.016;155.003;0.987;3.166;0.442;4.147;7.684;5
2066;Pale;7.279;0.283;0.359;9.693;0.05;35.986;129.99;0.985;3.473;0.744;4.717;8.941;6
2067;Pale;4.21;0.169;0.357;1.804;0.025;93.011;160.985;0.985;3.642;0.89;5.724;10.966;7
2068;Dark;9.097;0.453;0.339;2.385;0.081;23.007;77.999;0.999;3.4;0.636;4.525;8.952;5
2069;Golden;5.794;0.16;0.354;1.303;0.056;11.006;70.004;1.006;3.418;0.679;4.965;9.615;7
2070;Brown;9.587;0.884;0.269;2.406;0.091;30.006;147.001;0.983;3.241;0.541;4.482;8.442;5
2071;Golden;7.003;0.324;0.317;1.196;0.05;38.017;138.001;0.986;3.144;0.272;5.336;9.64;6
2072;Pale;5.994;0.253;0.289;1.01;0.014;26.98;96.019;0.995;3.398;0.458;5.856;11.019;6
2073;Dark;8.61;0.477;0.279;1.993;0.123;18.996;132.987;0.987;2.941;1.989;4.673;8.71;5
2074;Golden;6.286;0.223;0.228;17.453;0.074;41.994;150.999;0.989;3.131;0.61;4.428;8.342;6
2075;Brown;7.918;0.327;0.372;1.889;0.09;5.005;9.992;0.994;3.278;0.523;5.343;9.879;7
2076;Amber;7.989;0.724;0.199;2.316;0.067;12.987;80.991;0.99;3.247;0.554;4.528;8.78;6
2077;Pale;6.101;0.169;0.228;1.407;0.054;17.008;77.0;0.989;3.681;0.567;4.918;9.816;6
2078;Pale;6.687;0.243;0.337;12.299;0.025;31.001;144.989;0.986;3.375;0.4;4.525;9.174;5
2079;Brown;7.091;0.305;0.302;2.192;0.062;36.005;127.004;0.977;2.941;1.619;4.523;8.678;5
2080;Pale;6.202;0.367;0.303;6.61;0.348;78.996;200.008;1.016;3.288;0.583;4.569;8.759;5
2081;Pale;7.689;0.419;0.992;19.975;0.032;41.994;164.014;0.991;3.281;0.501;5.721;10.334;6
2082;Amber;8.188;0.214;0.416;1.904;0.067;8.993;16.985;0.982;3.206;0.542;5.863;10.533;6
2083;Pale;6.298;0.361;0.294;6.297;0.021;44.985;152.012;1.01;3.297;0.481;5.537;10.329;7
2084;Golden;5.789;0.358;0.49;0.994;0.119;62.988;178.013;0.984;3.11;0.455;4.624;8.938;5
2085;Brown;10.822;0.326;0.441;1.599;0.076;15.993;37.002;1.004;3.219;0.779;4.764;8.629;6
2086;Golden;6.787;0.259;0.34;4.709;0.029;34.002;134.008;1.0;3.203;0.379;5.052;9.745;6
2087;Brown;8.803;0.612;0.159;2.389;0.054;9.995;41.993;0.994;3.211;0.609;4.528;8.463;5
2088;Golden;6.59;0.293;0.451;7.991;0.035;54.001;199.983;1.003;3.19;0.483;4.53;8.444;5
2089;Amber;6.002;0.591;0.209;2.388;0.074;14.996;49.992;1.002;3.57;0.665;5.948;10.825;6
2090;Amber;5.6;0.236;0.248;3.615;0.032;18.003;114.996;0.991;3.423;0.504;6.008;11.138;6
2091;Dark;10.801;0.305;0.431;1.596;0.075;18.999;27.012;0.993;3.289;0.711;5.664;11.13;6
2092;Pale;7.499;0.155;0.389;12.697;0.04;70.51;162.996;0.983;3.137;0.826;4.961;9.367;7
2093;Golden;6.593;0.259;0.308;12.396;0.049;51.979;181.015;1.005;3.517;0.479;4.661;9.276;6
2094;Brown;6.187;0.45;0.179;1.589;0.066;6.989;10.995;1.004;3.603;0.534;5.424;9.779;5
2095;Golden;5.801;0.195;0.15;1.4;0.041;44.002;99.008;0.979;3.242;0.365;5.821;10.409;6
2096;Pale;6.813;0.212;0.322;1.906;0.052;19.983;100.995;0.996;3.104;0.476;5.288;10.085;6
2097;Golden;6.904;0.293;0.264;3.296;0.049;26.009;123.985;1.008;3.168;0.498;4.43;8.67;6
2098;Brown;6.582;0.393;0.489;1.701;0.058;23.013;148.986;0.999;3.125;0.514;5.488;10.389;6
2099;Amber;8.006;0.302;0.447;2.103;0.235;5.006;15.995;0.984;3.152;0.794;5.956;10.685;7
2100;Pale;6.603;0.206;0.378;15.395;0.025;62.009;153.01;1.006;3.029;0.384;4.431;8.223;5
2101;Pale;7.109;0.162;0.368;1.203;0.034;21.016;89.991;0.977;3.155;0.429;5.233;9.792;7
2102;Brown;8.389;0.389;0.105;1.699;0.073;5.997;24.998;1.008;3.089;0.433;4.633;8.667;6
2103;Pale;7.424;0.171;0.332;2.297;0.054;73.488;213.995;0.99;3.176;0.595;4.714;8.823;7
2104;Pale;5.198;0.334;0.375;6.209;0.029;42.017;133.019;0.968;3.242;0.411;5.953;11.135;6
2105;Golden;6.195;0.253;0.483;1.207;0.138;27.989;104.992;1.019;3.221;0.509;4.814;9.154;5
2106;Amber;6.592;0.49;0.02;1.513;0.053;16.995;26.005;1.002;3.401;0.594;4.672;8.765;6
2107;Pale;6.215;0.228;0.378;17.202;0.041;36.998;130.011;1.014;3.233;0.435;4.189;8.207;6
2108;Golden;5.992;0.55;0.26;4.508;0.047;17.006;126.013;0.996;3.25;0.468;4.338;8.421;5
2109;Pale;5.993;0.189;0.287;12.401;0.052;49.981;146.998;0.999;3.286;0.365;4.242;8.03;6
2110;Dark;7.598;0.35;0.297;1.684;0.062;26.02;65.01;0.995;3.437;0.633;4.529;8.837;6
2111;Pale;6.49;0.192;0.271;5.205;0.045;30.992;140.007;0.992;3.247;0.67;4.531;8.921;6
2112;Amber;6.706;0.283;0.475;4.683;0.042;34.989;155.998;1.01;3.123;0.458;4.724;8.891;6
2113;Pale;6.406;0.328;0.265;4.88;0.035;17.987;121.997;0.998;3.373;0.717;5.96;10.706;6
2114;Pale;6.692;0.197;0.4;9.101;0.055;49.979;166.014;0.997;3.132;0.586;4.668;8.965;6
2115;Pale;7.002;0.18;0.422;1.0;0.093;19.019;71.009;0.989;3.311;0.627;5.431;9.807;6
2116;Golden;6.683;0.257;0.257;4.103;0.071;35.99;201.991;1.002;3.305;0.669;4.525;8.646;5
2117;Amber;11.499;0.316;0.597;2.018;0.047;11.99;26.989;1.002;3.11;0.968;4.812;9.088;6
2118;Pale;6.601;0.209;0.286;14.407;0.071;39.004;118.013;1.019;3.055;0.497;4.34;8.543;6
2119;Amber;10.603;0.333;0.487;3.2;0.06;19.99;78.006;1.008;3.185;0.712;4.767;8.889;6
2120;Pale;8.101;0.45;0.303;1.7;0.048;49.998;183.001;1.008;3.044;0.419;5.338;9.966;5
2121;Pale;8.605;0.356;0.26;11.104;0.042;43.504;171.007;0.999;3.02;0.494;5.714;10.372;5
2122;Golden;6.903;0.209;0.808;1.086;0.149;51.983;123.001;0.99;3.023;0.397;4.38;9.081;6
2123;Golden;6.794;0.178;0.279;9.788;0.046;28.992;112.995;0.994;3.103;0.444;5.193;9.901;7
2124;Brown;11.316;0.381;0.641;2.383;0.116;3.005;7.99;0.99;3.195;0.53;5.664;10.135;6
2125;Pale;6.812;0.229;0.365;17.521;0.051;38.013;153.013;1.005;3.247;0.407;4.285;8.202;6
2126;Golden;6.303;0.403;0.211;2.785;0.043;53.006;172.992;0.987;3.231;0.444;4.669;9.373;5
2127;Pale;7.214;0.224;0.395;14.196;0.054;49.02;191.978;1.002;2.973;0.491;4.296;8.345;7
2128;Pale;6.403;0.39;0.252;7.195;0.065;40.993;150.99;0.993;3.112;0.598;4.381;8.237;5
2129;Golden;6.705;0.154;0.373;1.701;0.047;20.011;83.995;1.011;3.083;0.52;5.435;10.21;6
2130;Golden;7.403;0.256;0.437;5.995;0.008;22.008;124.994;1.001;3.137;0.557;5.489;10.699;6
2131;Amber;7.884;0.23;0.442;14.188;0.02;53.021;140.999;1.0;3.028;0.454;4.383;8.948;6
2132;Dark;12.718;0.595;0.503;2.8;0.058;5.01;18.991;0.986;3.144;0.569;5.435;10.616;5
2133;Pale;6.099;0.28;0.241;19.947;0.066;32.008;173.984;0.993;3.2;0.45;4.426;9.113;6
2134;Pale;6.786;0.206;0.329;5.491;0.064;20.999;113.997;0.983;3.306;0.541;5.097;9.415;7
2135;Brown;8.495;0.361;0.32;1.794;0.074;25.991;51.01;0.993;3.4;0.715;5.627;10.472;6
2136;Pale;7.206;0.266;0.269;12.481;0.034;48.001;178.986;1.002;3.11;0.52;4.296;8.141;6
2137;Brown;7.388;0.397;0.461;2.012;0.096;13.993;67.014;1.004;3.337;0.549;4.384;8.776;5
2138;Pale;6.898;0.367;0.232;9.487;0.064;53.995;165.998;0.994;3.224;0.42;4.766;8.816;5
2139;Pale;5.502;0.145;0.258;4.583;0.019;22.018;104.017;0.987;3.329;0.451;4.282;8.319;5
2140;Golden;6.297;0.589;0.454;10.979;0.045;50.0;245.003;0.979;3.196;0.574;4.441;8.869;4
2141;Golden;7.605;0.197;0.338;1.814;0.053;42.023;147.986;0.985;3.338;0.669;5.296;9.953;6
2142;Golden;7.4;0.408;0.654;10.798;0.043;76.972;194.005;0.992;3.056;0.458;4.146;7.681;5
2143;Dark;5.997;0.492;0.006;1.395;0.079;14.995;26.008;0.98;3.375;0.449;4.54;8.996;5
2144;Brown;6.526;0.531;0.11;1.81;0.067;13.013;38.006;1.02;3.354;0.512;4.439;7.933;5
2145;Golden;7.107;0.26;0.397;2.118;0.046;30.003;123.999;0.999;3.285;0.428;5.816;10.918;8
2146;Pale;7.884;0.218;0.393;8.004;0.045;46.004;151.999;1.018;3.113;0.33;5.488;10.143;7
2147;Dark;11.211;0.665;0.241;2.496;0.074;15.995;53.01;0.99;3.063;0.725;5.244;9.836;6
2148;Amber;7.299;0.823;0.035;2.112;0.091;10.023;19.006;1.001;3.397;0.461;4.572;8.771;5
2149;Golden;6.617;0.619;0.277;4.405;0.043;19.006;78.015;0.987;3.101;0.625;6.142;11.189;6
2150;Pale;5.621;0.2;0.235;4.397;0.048;36.976;149.99;0.997;3.289;0.31;5.488;10.195;7
2151;Golden;6.498;0.223;0.504;16.397;0.043;36.007;181.992;0.985;3.014;0.487;4.194;8.469;6
2152;Golden;6.212;0.246;0.534;6.991;0.048;58.006;175.989;1.022;3.215;0.696;4.946;9.187;5
2153;Golden;6.894;0.383;0.562;11.211;0.052;40.013;141.992;0.995;3.14;0.459;4.148;8.43;5
2154;Dark;10.599;0.487;0.445;2.612;0.101;33.999;68.005;0.997;3.227;0.722;5.19;9.466;6
2155;Brown;8.514;0.326;0.419;2.288;0.085;12.008;18.992;1.0;3.157;0.706;5.63;10.487;7
2156;Golden;6.003;0.319;0.307;7.295;0.174;46.004;159.001;0.98;3.181;0.509;4.48;8.707;5
2157;Dark;7.994;0.191;0.382;0.901;0.037;36.008;109.006;0.993;2.911;0.434;6.05;11.488;6
2158;Golden;5.902;0.126;0.274;1.391;0.035;35.998;83.004;0.988;3.34;0.424;5.193;9.949;7
2159;Pale;6.904;0.401;0.332;10.098;0.054;27.99;152.004;0.984;3.195;0.506;4.48;8.919;5
2160;Pale;6.396;0.268;0.293;2.204;0.037;33.022;133.994;0.99;3.209;0.471;5.057;9.573;6
2161;Dark;7.208;0.537;0.129;2.002;0.065;18.007;21.986;0.992;3.21;0.666;4.715;9.264;6
2162;Pale;5.998;0.316;0.304;1.296;0.01;18.018;111.986;0.978;3.063;0.647;6.334;11.301;7
2163;Golden;6.408;0.147;0.396;1.29;0.049;60.988;145.983;0.979;3.175;0.666;5.241;9.875;6
2164;Golden;8.097;0.275;0.287;7.794;0.048;39.002;151.998;1.006;2.982;0.573;4.77;9.348;6
2165;Golden;8.309;0.245;0.273;2.104;0.043;22.024;162.008;0.982;2.978;0.675;5.669;10.553;6
2166;Amber;6.903;0.412;0.321;2.206;0.069;22.009;35.988;0.988;3.414;0.755;5.29;10.066;6
2167;Pale;5.806;0.416;0.138;1.425;0.036;10.996;63.985;0.992;3.293;0.536;5.006;9.748;5
2168;Pale;6.59;0.244;0.364;1.22;0.032;43.002;125.999;0.999;3.015;0.626;5.433;10.53;6
2169;Golden;6.497;0.183;0.092;1.286;0.029;23.006;107.009;0.976;3.293;0.422;4.765;9.432;5
2170;Pale;6.299;0.195;0.269;12.687;0.056;59.993;143.008;0.992;3.279;0.349;5.147;9.706;6
2171;Amber;6.399;0.282;0.215;15.616;0.04;19.997;142.004;0.994;3.11;0.541;5.053;9.521;5
2172;Pale;5.803;0.275;0.174;1.182;0.017;39.999;114.008;0.992;3.428;0.416;5.247;9.933;7
2173;Dark;7.104;0.612;0.009;1.795;0.077;16.003;34.012;0.997;3.466;0.713;4.719;8.95;6
2174;Brown;8.302;0.659;0.115;2.88;0.096;17.0;39.997;0.996;3.307;0.564;4.523;8.364;5
2175;Pale;6.211;0.555;0.443;11.999;0.036;26.993;186.013;0.991;3.163;0.504;4.431;8.839;6
2176;Golden;10.697;0.213;0.568;8.196;0.042;36.998;181.021;1.011;2.867;0.669;4.529;9.045;6
2177;Pale;7.018;0.35;0.114;3.497;0.067;16.983;62.995;0.997;2.991;0.399;4.382;9.137;5
2178;Pale;7.117;0.258;0.302;14.446;0.075;29.023;106.997;1.001;2.97;0.428;4.398;8.793;6
2179;Pale;6.102;0.269;0.24;8.011;0.044;41.01;161.985;0.997;3.202;0.493;4.72;9.543;5
2180;Golden;5.693;0.225;0.209;16.66;0.045;38.994;109.981;0.993;3.225;0.478;4.292;8.237;6
2181;Pale;6.487;0.375;0.297;13.548;0.05;20.003;112.983;0.987;3.214;0.532;5.24;10.021;6
2182;Pale;6.989;0.235;0.407;18.032;0.065;35.003;143.995;1.026;3.226;0.409;4.198;8.352;5
2183;Dark;9.995;0.349;0.46;1.994;0.063;5.995;10.992;0.999;3.233;0.512;5.721;10.445;6
2184;Pale;6.292;0.273;0.241;5.201;0.031;11.006;132.991;0.993;2.956;0.682;5.238;9.655;6
2185;Pale;6.216;0.206;0.267;1.703;0.028;40.984;149.98;1.001;3.484;0.71;4.996;9.454;7
2186;Amber;7.004;0.349;0.309;1.804;0.077;14.982;162.005;0.992;3.177;0.459;4.478;8.542;5
2187;Dark;7.597;0.611;0.306;2.187;0.08;7.014;54.019;1.004;3.351;0.51;4.477;8.955;5
2188;Golden;7.007;0.383;0.318;10.052;0.023;37.016;130.991;0.976;3.091;0.314;5.575;10.309;8
2189;Amber;6.81;0.317;0.3;7.992;0.02;32.998;121.995;1.002;3.131;0.629;6.014;10.756;7
2190;Golden;7.603;0.174;0.447;10.19;0.054;58.01;135.023;0.993;3.162;0.437;4.714;9.271;6
2191;Golden;7.698;0.459;0.231;11.209;0.037;41.009;166.991;0.991;3.122;0.435;5.383;10.144;7
2192;Pale;7.404;0.316;0.247;8.586;0.035;46.993;206.01;0.985;3.264;0.379;4.342;8.815;5
2193;Golden;8.505;0.171;0.303;0.997;0.013;13.0;91.002;0.988;2.812;0.364;4.817;8.959;5
2194;Pale;7.602;0.18;0.444;1.394;0.038;25.015;108.987;0.976;3.09;0.733;4.902;9.848;6
2195;Dark;9.111;0.662;0.094;2.795;0.096;11.018;43.993;0.989;3.314;0.538;4.518;8.408;6
2196;Pale;6.793;0.45;0.282;26.061;0.041;26.993;122.004;0.988;3.063;0.415;5.055;9.076;6
2197;Golden;6.606;0.253;0.537;8.193;0.072;51.998;190.999;0.985;3.163;0.478;4.533;8.662;6
2198;Golden;8.216;0.256;0.32;2.607;0.063;11.014;71.016;0.978;2.895;0.486;4.526;8.584;5
2199;Brown;8.385;0.749;0.107;1.91;0.078;15.989;63.001;0.994;3.183;0.822;4.576;8.647;5
2200;Pale;7.489;0.288;0.23;9.914;0.037;25.011;114.979;0.995;3.143;0.451;5.198;9.841;5
2201;Amber;6.408;0.295;0.382;7.804;0.039;34.978;192.013;0.982;3.097;0.353;4.294;8.193;5
2202;Pale;6.9;0.18;0.49;6.603;0.048;49.008;172.014;0.987;3.2;0.261;5.48;9.862;6
2203;Amber;7.805;0.699;0.051;1.897;0.094;20.008;34.995;0.993;3.395;0.689;5.188;9.788;5
2204;Pale;7.121;0.221;0.297;2.603;0.032;61.997;148.019;0.999;3.034;0.562;5.39;9.854;7
2205;Golden;7.401;0.3;0.204;1.41;0.048;16.0;135.004;0.998;3.079;0.751;4.952;9.555;7
2206;Brown;8.282;0.257;0.377;1.401;0.08;8.003;23.012;0.991;3.273;0.717;4.578;8.968;6
2207;Pale;6.288;0.314;0.206;3.679;0.055;33.999;131.994;0.982;2.996;0.374;5.099;9.879;5
2208;Amber;6.789;0.186;0.744;2.386;0.052;61.016;182.001;1.001;3.627;0.763;5.013;9.393;6
2209;Dark;10.207;0.656;0.377;1.805;0.054;5.015;13.992;0.997;3.166;0.421;4.758;9.194;6
2210;Dark;8.911;0.631;0.201;3.904;0.156;51.0;148.008;0.983;3.19;0.922;4.389;9.063;5
2211;Golden;6.61;0.145;0.364;1.101;0.034;26.99;93.007;0.993;3.217;0.337;6.289;11.509;8
2212;Pale;7.596;0.344;0.255;1.899;0.048;14.998;134.004;0.993;3.096;0.384;4.526;7.767;5
